"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft*)"|"Map**"|"BGN Date"|"Entry Date"|
"Rock Point Community School"|"2543651"|"School"|"Apache"|"AZ"|"364301N"|"1093704W"|"5010"|"Dancing Rocks"|""|"27-APR-2009"
"Rough Rock Community School"|"10521"|"School"|"Apache"|"AZ"|"362427N"|"1095139W"|"6273"|"Rough Rock"|""|"08-FEB-1980"
"Round Rock Day School"|"21785"|"School"|"Apache"|"AZ"|"363050N"|"1092825W"|"5344"|"Round Rock"|""|"27-JUN-1984"
"Round Rock Elementary and Junior High School"|"2543616"|"School"|"Apache"|"AZ"|"363051N"|"1092831W"|"5338"|"Round Rock"|""|"27-APR-2009"
"Round Valley High School"|"33837"|"School"|"Apache"|"AZ"|"340714N"|"1091717W"|"7031"|"Eagar"|""|"08-FEB-1980"
"Round Valley Intermediate School"|"1853735"|"School"|"Apache"|"AZ"|"340629N"|"1091703W"|"7119"|"Eagar"|""|"28-FEB-2000"
"Round Valley Middle School"|"1853736"|"School"|"Apache"|"AZ"|"340630N"|"1091739W"|"7106"|"Eagar"|""|"28-FEB-2000"
"Round Valley Primary School"|"1853737"|"School"|"Apache"|"AZ"|"340729N"|"1091631W"|"7037"|"Eagar"|""|"28-FEB-2000"
"Saint Isabel Mission"|"10710"|"School"|"Apache"|"AZ"|"362506N"|"1091352W"|"6519"|"Lukachukai"|""|"08-FEB-1980"
"Saint Johns High School"|"21796"|"School"|"Apache"|"AZ"|"343007N"|"1092320W"|"5774"|"Zion Reservoir"|""|"27-JUN-1984"
"Saint Johns Middle School"|"2543714"|"School"|"Apache"|"AZ"|"342954N"|"1092224W"|"5741"|"Saint Johns South"|""|"27-APR-2009"
"Saint Michael Elementary School"|"2543528"|"School"|"Apache"|"AZ"|"353845N"|"1090548W"|"6735"|"Window Rock"|""|"27-APR-2009"
"Saint Michael High School"|"44797"|"School"|"Apache"|"AZ"|"353845N"|"1090548W"|"6735"|"Window Rock"|""|"27-JUN-1984"
"Sanders Elementary School"|"2543702"|"School"|"Apache"|"AZ"|"351309N"|"1092004W"|"5902"|"Sanders"|""|"27-APR-2009"
"Sanders Middle School"|"2543508"|"School"|"Apache"|"AZ"|"351318N"|"1091949W"|"6014"|"Sanders"|""|"27-APR-2009"
"Sawmill Primary Learning Center"|"2543536"|"School"|"Apache"|"AZ"|"355356N"|"1090952W"|"7693"|"Sawmill"|""|"27-APR-2009"
